,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3656,tnn4atf7,qs7afbz6,28,1,2,8.1,1,0.99,-0.01,,,,,8.49,AMT
3657,tnn4atf7,dzc9zfoq,28,2,2,8.2,1,0.5,-0.69,,,,,8.62,AMT
3658,tnn4atf7,qs7afbz6,28,1,3,8.3,1,0.99,-0.01,,,,,8.49,AMT
3659,tnn4atf7,dzc9zfoq,28,2,3,8.2,1,0.99,-0.01,,,,,8.62,AMT
3660,tnn4atf7,qs7afbz6,28,1,4,9.1,0,0.99,-0.02,,,,,8.49,AMT
3661,tnn4atf7,dzc9zfoq,28,2,4,9.0,0,0.99,-0.02,,,,,8.62,AMT
3662,tnn4atf7,qs7afbz6,28,1,5,9.1,0,0.99,-0.02,,,,,8.49,AMT
3663,tnn4atf7,dzc9zfoq,28,2,5,9.0,0,0.99,-0.02,,,,,8.62,AMT
3664,tnn4atf7,qs7afbz6,28,1,6,8.3,1,0.99,-0.01,,,,,8.49,AMT
3665,tnn4atf7,dzc9zfoq,28,2,6,8.4,1,0.99,-0.01,,,,,8.62,AMT
3666,tnn4atf7,qs7afbz6,28,1,7,9.1,0,0.99,-0.02,,,,,8.49,AMT
3667,tnn4atf7,dzc9zfoq,28,2,7,9.0,0,0.99,-0.02,,,,,8.62,AMT
3668,tnn4atf7,qs7afbz6,28,1,8,8.2,1,0.99,-0.01,,,,,8.49,AMT
3669,tnn4atf7,dzc9zfoq,28,2,8,8.1,1,0.99,-0.01,,,,,8.62,AMT
3670,tnn4atf7,qs7afbz6,28,1,9,8.1,1,0.99,-0.01,,,,,8.49,AMT
3671,tnn4atf7,dzc9zfoq,28,2,9,8.2,1,0.99,-0.01,,,,,8.62,AMT
3672,tnn4atf7,qs7afbz6,28,1,10,8.1,1,0.99,-0.01,I based my choices only on the times that I arrived.,1.0,8.4,,8.49,AMT
3673,tnn4atf7,dzc9zfoq,28,2,10,8.2,1,0.99,-0.01,tried to get most $,1.0,6.0,,8.62,AMT
3674,udxit0zi,aw6n6eym,2,1,1,8.5,0,0.875,-4.16,,,,,0.0,AMT
3675,udxit0zi,wr17xlf5,2,2,1,8.4,1,0.75,-2.77,,,,,4.420000000000001,AMT
3676,udxit0zi,aw6n6eym,2,1,2,8.4,1,0.875,-4.16,,,,,0.0,AMT
3677,udxit0zi,wr17xlf5,2,2,2,8.5,0,0.5,-1.39,,,,,4.420000000000001,AMT
